Date,Open,High,Low,Close,Adj Close,Volume
2002-05-29,22.110001,22.245001,21.945000,22.155001,9.822890,2153400
2002-05-30,21.900000,22.400000,21.900000,22.334999,9.902694,124770
2002-05-31,22.299999,23.250000,22.200001,22.945000,10.173153,1558090
2002-06-03,23.250000,23.465000,22.610001,22.764999,10.093344,286350
2002-06-04,22.625000,23.200001,22.405001,22.495001,9.973636,134710
2002-06-05,22.299999,22.424999,21.900000,22.355000,9.911564,1004510
2002-06-06,22.100000,22.450001,22.000000,22.320000,9.896043,899340
2002-06-07,22.100000,22.150000,21.570000,21.730000,9.634457,1537310
2002-06-10,21.900000,22.150000,21.900000,22.000000,9.754167,103330
2002-06-11,22.200001,22.250000,21.875000,22.075001,9.787419,180720
2002-06-12,21.825001,22.190001,21.825001,21.980000,9.745299,99510
2002-06-13,21.910000,22.090000,21.799999,22.059999,9.780767,645390
2002-06-14,21.900000,22.000000,21.900000,21.965000,9.738649,215040
2002-06-17,21.910000,22.000000,21.865000,21.900000,9.709828,1091860
2002-06-18,22.295000,22.295000,21.809999,21.865000,9.694309,295700
2002-06-19,21.799999,21.950001,21.799999,21.875000,9.698743,214710
2002-06-20,21.754999,21.850000,21.639999,21.785000,9.658840,362670
2002-06-21,22.100000,22.100000,21.660000,21.950001,9.731998,166400
2002-06-24,21.900000,21.900000,21.325001,21.445000,9.508096,808950
2002-06-25,21.500000,21.645000,21.400000,21.475000,9.521398,213030
2002-06-26,21.500000,21.500000,21.315001,21.375000,9.477057,39040
2002-07-01,20.420000,21.200001,20.100000,21.090000,9.350698,588350
2002-07-02,21.190001,21.195000,20.900000,20.980000,9.301928,525850
2002-07-03,20.799999,21.000000,20.799999,20.950001,9.288627,129760
2002-07-04,21.195000,21.850000,20.924999,21.799999,9.665492,559640
2002-07-05,21.600000,21.620001,21.254999,21.465000,9.516964,218580
2002-07-08,21.400000,21.500000,20.955000,21.014999,9.317445,195460
2002-07-09,21.100000,21.299999,20.855000,20.995001,9.308578,1119490
2002-07-10,20.945000,21.100000,20.900000,21.020000,9.319664,141690
2002-07-11,21.000000,21.065001,20.799999,21.030001,9.324097,175730
2002-07-12,20.910000,21.075001,20.905001,21.035000,9.326315,1076790
2002-07-15,21.700001,21.700001,20.910000,20.990000,9.306361,95550
2002-07-16,21.075001,21.245001,20.655001,21.070000,9.341832,219500
2002-07-17,21.080000,21.090000,20.830000,21.010000,9.315230,168600
2002-07-18,21.200001,21.209999,20.934999,21.010000,9.315230,148590
2002-07-19,20.920000,21.500000,20.879999,21.465000,9.516964,238500
2002-07-22,21.150000,21.530001,21.105000,21.370001,9.474842,1172020
2002-07-23,21.895000,21.950001,21.405001,21.490000,9.528048,85139650
2002-07-24,21.405001,21.450001,21.049999,21.145000,9.375084,10194780
2002-07-25,21.500000,21.500000,21.000000,21.264999,9.428289,113140
2002-07-26,21.000000,21.280001,20.905001,21.094999,9.352916,11088070
2002-07-29,21.200001,21.400000,21.100000,21.215000,9.406119,112540
2002-07-30,21.000000,21.135000,20.950001,21.000000,9.310795,378980
2002-07-31,21.000000,21.395000,20.900000,21.260000,9.426072,146500
2002-08-01,21.105000,21.400000,20.674999,21.040001,9.328529,844650
2002-08-02,20.799999,21.045000,20.799999,21.000000,9.310795,58400
2002-08-05,21.200001,21.200001,20.969999,21.000000,9.310795,16410240
2002-08-06,21.010000,21.299999,20.950001,21.225000,9.410555,173650
2002-08-07,21.049999,21.205000,21.000000,21.000000,9.310795,372150
